dataset,size,algorithm,time_us,char_ops,sorted
almost_sorted,2300,msd_radix_quick_sort,113,21183,yes
almost_sorted,2400,standard_quick_sort,318,140824,yes
almost_sorted,2400,standard_merge_sort,519,26556,yes
almost_sorted,2400,string_quick_sort,139,86674,yes
almost_sorted,2400,string_merge_sort,529,45431,yes
almost_sorted,2400,msd_radix_sort,409,11602,yes
almost_sorted,2400,msd_radix_quick_sort,118,22135,yes
almost_sorted,2500,standard_quick_sort,343,150891,yes
almost_sorted,2500,standard_merge_sort,555,28436,yes
almost_sorted,2500,string_quick_sort,155,95513,yes
almost_sorted,2500,string_merge_sort,571,48664,yes
almost_sorted,2500,msd_radix_sort,425,12082,yes
almost_sorted,2500,msd_radix_quick_sort,121,23004,yes
almost_sorted,2600,standard_quick_sort,364,160249,yes
almost_sorted,2600,standard_merge_sort,576,29445,yes
almost_sorted,2600,string_quick_sort,162,102033,yes
almost_sorted,2600,string_merge_sort,592,50669,yes
almost_sorted,2600,msd_radix_sort,443,12564,yes
almost_sorted,2600,msd_radix_quick_sort,133,23910,yes
almost_sorted,2700,standard_quick_sort,388,171332,yes
almost_sorted,2700,standard_merge_sort,601,30466,yes
almost_sorted,2700,string_quick_sort,130,82700,yes
almost_sorted,2700,string_merge_sort,614,52273,yes
almost_sorted,2700,msd_radix_sort,457,13036,yes
almost_sorted,2700,msd_radix_quick_sort,135,24761,yes
almost_sorted,2800,standard_quick_sort,421,180067,yes
almost_sorted,2800,standard_merge_sort,630,31389,yes
almost_sorted,2800,string_quick_sort,140,87320,yes
almost_sorted,2800,string_merge_sort,648,53713,yes
almost_sorted,2800,msd_radix_sort,479,13526,yes
almost_sorted,2800,msd_radix_quick_sort,139,25662,yes
almost_sorted,2900,standard_quick_sort,438,190946,yes
almost_sorted,2900,standard_merge_sort,657,32180,yes
almost_sorted,2900,string_quick_sort,145,91783,yes
almost_sorted,2900,string_merge_sort,712,55076,yes
almost_sorted,2900,msd_radix_sort,589,14000,yes
almost_sorted,2900,msd_radix_quick_sort,175,26572,yes
almost_sorted,3000,standard_quick_sort,504,189544,yes
almost_sorted,3000,standard_merge_sort,712,33217,yes
almost_sorted,3000,string_quick_sort,236,121661,yes
almost_sorted,3000,string_merge_sort,835,56870,yes
